gX,gY,gZ,aX,aY,aZ
8.605957,-30.944824,18.676758,0.974609,-0.146851,0.052734
8.605957,-30.944824,18.676758,0.974609,-0.146851,0.052734
6.713867,-30.151367,18.310547,0.977417,-0.159912,0.041138
6.713867,-30.151367,18.310547,0.977417,-0.159912,0.041138
5.432129,-29.357910,17.883301,0.978760,-0.168213,0.034668
5.432129,-29.357910,17.883301,0.978760,-0.168213,0.034668
5.432129,-29.357910,17.883301,0.978760,-0.168213,0.034668
4.150391,-28.564453,17.395020,0.981079,-0.169678,0.026611
4.150391,-28.564453,17.395020,0.981079,-0.169678,0.026611
2.075195,-27.709961,16.906738,0.982544,-0.167480,0.016479
2.075195,-27.709961,16.906738,0.982544,-0.167480,0.016479
2.075195,-27.709961,16.906738,0.982544,-0.167480,0.016479
-1.159668,-26.794434,16.296387,0.984253,-0.165649,0.008667
-1.159668,-26.794434,16.296387,0.984253,-0.165649,0.008667
-5.371094,-25.939941,15.441895,0.985718,-0.167725,0.007202
-5.371094,-25.939941,15.441895,0.985718,-0.167725,0.007202
-9.521484,-25.085449,14.587402,0.984863,-0.172485,0.011230
-9.521484,-25.085449,14.587402,0.984863,-0.172485,0.011230
-9.521484,-25.085449,14.587402,0.984863,-0.172485,0.011230
-12.573242,-24.353027,13.916016,0.983154,-0.176636,0.014771
-12.573242,-24.353027,13.916016,0.983154,-0.176636,0.014771
-13.793945,-23.742676,13.488770,0.983643,-0.181763,0.016724
-13.793945,-23.742676,13.488770,0.983643,-0.181763,0.016724
-12.817383,-23.193359,13.366699,0.986206,-0.188110,0.012939
-12.817383,-23.193359,13.366699,0.986206,-0.188110,0.012939
-12.817383,-23.193359,13.366699,0.986206,-0.188110,0.012939
-9.887695,-22.705078,13.549805,0.987061,-0.193481,0.006958
-9.887695,-22.705078,13.549805,0.987061,-0.193481,0.006958
-5.554199,-22.277832,13.916016,0.987183,-0.192749,0.006226
-5.554199,-22.277832,13.916016,0.987183,-0.192749,0.006226
